progression_key,progression_label,slot,file,path,saved_path,level,board,pairs,blockers,moves,solutions,difficulty,status,changed,notes
progression_6_1,Progression 6,0,tutorial_level.json,Workshop tutorial · progressionA,minigame_locally/levels/tutorial_level.json,1,6x6,3,3,8,0,EASY,OK,Yes,Tutorial slot
progression_6_1,Progression 6,1,6_1.json,minigame_locally/levels/6_1.json,minigame_locally/levels/6_1.json,1,4x4,2,2,8,20,EASY,OK,Yes,
progression_6_1,Progression 6,2,6_2.json,minigame_locally/levels/6_2.json,minigame_locally/levels/6_2.json,2,5x5,3,6,6,2,MEDIUM,OK,Yes,
progression_6_1,Progression 6,3,6_3.json,minigame_locally/levels/6_3.json,minigame_locally/levels/6_3.json,3,5x5,3,3,7,20,EASY,OK,Yes,
progression_6_1,Progression 6,4,6_4.json,minigame_locally/levels/6_4.json,minigame_locally/levels/6_4.json,4,6x6,5,3,8,20,MEDIUM,OK,Yes,
progression_6_1,Progression 6,5,6_5.json,minigame_locally/levels/6_5.json,minigame_locally/levels/6_5.json,5,5x5,3,4,7,5,EASY,OK,Yes,
progression_6_1,Progression 6,6,6_7.json,minigame_locally/levels/6_7.json,minigame_locally/levels/6_7.json,1,7x7,6,4,8,18,MEDIUM,OK,Yes,
progression_6_1,Progression 6,7,lvl_030_image21_level_editor.json,Workshop level · lvl_030_image21_level_editor.json,minigame_locally/levels/lvl_030_image21_level_editor.json,3,5x5,3,2,10,0,HARD,INVALID,Yes,
progression_6_1,Progression 6,8,6_8.json,minigame_locally/levels/6_8.json,minigame_locally/levels/6_8.json,8,7x7,5,14,9,2,MEDIUM,OK,Yes,
progression_6_1,Progression 6,9,6_9.json,minigame_locally/levels/6_9.json,minigame_locally/levels/6_9.json,9,6x6,5,6,8,20,HARD,OK,Yes,
progression_6_1,Progression 6,10,6_10.json,minigame_locally/levels/6_10.json,minigame_locally/levels/6_10.json,10,6x6,7,4,9,6,HARD,OK,Yes,
