progression_key,progression_label,slot,file,path,saved_path,level,board,pairs,blockers,moves,solutions,difficulty,status,changed,notes
progressionA,Progression A,0,tutorial_level.json,minigame_locally/levels/tutorial_level.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/tutorial_level.json,1,6x6,3,3,8,20,EASY,OK,Yes,Tutorial slot
progressionA,Progression A,1,a_1.json,minigame_locally/levels/progression_a/a_1.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_a/a_1.json,1,5x5,3,0,3,20,EASY,OK,Yes,
progressionA,Progression A,2,a_2.json,minigame_locally/levels/progression_a/a_2.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_a/a_2.json,2,4x4,3,0,3,20,EASY,OK,Yes,
progressionA,Progression A,3,a_3.json,minigame_locally/levels/progression_a/a_3.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_a/a_3.json,3,5x5,4,2,5,20,MEDIUM,OK,Yes,
progressionA,Progression A,4,a_4.json,minigame_locally/levels/progression_a/a_4.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_a/a_4.json,4,4x4,3,1,3,2,EASY,OK,Yes,
progressionA,Progression A,5,a_5.json,minigame_locally/levels/progression_a/a_5.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_a/a_5.json,5,5x5,5,3,5,20,EASY,OK,Yes,
progressionA,Progression A,6,a_6.json,minigame_locally/levels/progression_a/a_6.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_a/a_6.json,6,6x6,4,5,5,14,MEDIUM,OK,Yes,
progressionA,Progression A,7,a_7.json,minigame_locally/levels/progression_a/a_7.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_a/a_7.json,7,7x7,6,6,6,0,EASY,INVALID,Yes,
progressionA,Progression A,8,a_8.json,minigame_locally/levels/progression_a/a_8.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_a/a_8.json,8,5x5,4,1,5,0,MEDIUM,INVALID,Yes,
progressionA,Progression A,9,a_9.json,minigame_locally/levels/progression_a/a_9.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_a/a_9.json,9,6x6,3,6,4,0,MEDIUM,INVALID,Yes,
progressionA,Progression A,10,a_10.json,minigame_locally/levels/progression_a/a_10.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_a/a_10.json,10,6x7,4,7,6,6,HARD,OK,Yes,
