progression_key,progression_label,slot,file,path,saved_path,level,board,pairs,blockers,moves,solutions,difficulty,status,changed,notes
progressionB,Progression B,0,tutorial_level.json,minigame_locally/levels/tutorial_level.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/tutorial_level.json,1,6x6,3,3,8,20,EASY,OK,Yes,Tutorial slot
progressionB,Progression B,1,b_1.json,minigame_locally/levels/progression_b/b_1.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_b/b_1.json,1,4x4,3,2,3,13,EASY,OK,Yes,
progressionB,Progression B,2,b_2.json,minigame_locally/levels/progression_b/b_2.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_b/b_2.json,2,5x5,2,7,2,1,EASY,OK,Yes,
progressionB,Progression B,3,b_3.json,minigame_locally/levels/progression_b/b_3.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_b/b_3.json,3,6x6,3,4,4,20,MEDIUM,OK,Yes,
progressionB,Progression B,4,b_4.json,minigame_locally/levels/progression_b/b_4.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_b/b_4.json,4,7x7,4,3,6,0,HARD,INVALID,Yes,
progressionB,Progression B,5,b_5.json,minigame_locally/levels/progression_b/b_5.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_b/b_5.json,5,7x7,4,10,4,0,EASY,INVALID,Yes,
progressionB,Progression B,6,b_6.json,minigame_locally/levels/progression_b/b_6.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_b/b_6.json,6,6x6,4,6,5,0,MEDIUM,INVALID,Yes,
progressionB,Progression B,7,b_7.json,minigame_locally/levels/progression_b/b_7.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_b/b_7.json,7,8x8,5,7,7,0,HARD,INVALID,Yes,
progressionB,Progression B,8,b_8.json,minigame_locally/levels/progression_b/b_8.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_b/b_8.json,8,8x8,7,1,7,0,EASY,INVALID,Yes,
progressionB,Progression B,9,b_9.json,minigame_locally/levels/progression_b/b_9.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_b/b_9.json,9,8x8,6,7,7,0,MEDIUM,INVALID,Yes,
progressionB,Progression B,10,b_10.json,minigame_locally/levels/progression_b/b_10.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_b/b_10.json,10,8x9,8,6,10,0,HARD,INVALID,Yes,
