progression_key,progression_label,slot,file,path,saved_path,level,board,pairs,blockers,moves,solutions,difficulty,status,changed,notes
progressionC,Progression C,0,tutorial_level.json,minigame_locally/levels/tutorial_level.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/tutorial_level.json,1,6x6,3,3,8,20,EASY,OK,Yes,Tutorial slot
progressionC,Progression C,1,c_1.json,minigame_locally/levels/progression_c/c_1.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_c/c_1.json,1,6x5,4,5,4,8,EASY,OK,Yes,
progressionC,Progression C,2,c_2.json,minigame_locally/levels/progression_c/c_2.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_c/c_2.json,2,7x7,4,10,4,20,EASY,OK,Yes,
progressionC,Progression C,3,c_3.json,minigame_locally/levels/progression_c/c_3.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_c/c_3.json,3,6x5,4,1,5,0,MEDIUM,INVALID,Yes,
progressionC,Progression C,4,c_4.json,minigame_locally/levels/progression_c/c_4.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_c/c_4.json,4,7x7,5,3,5,0,EASY,INVALID,Yes,
progressionC,Progression C,5,c_5.json,minigame_locally/levels/progression_c/c_5.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_c/c_5.json,5,6x6,4,4,5,0,MEDIUM,INVALID,Yes,
progressionC,Progression C,6,c_6.json,minigame_locally/levels/progression_c/c_6.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_c/c_6.json,6,5x5,6,3,6,2,EASY,OK,Yes,
progressionC,Progression C,7,c_7.json,minigame_locally/levels/progression_c/c_7.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_c/c_7.json,7,8x7,4,8,5,0,MEDIUM,INVALID,Yes,
progressionC,Progression C,8,c_8.json,minigame_locally/levels/progression_c/c_8.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_c/c_8.json,8,6x6,6,10,6,1,EASY,OK,Yes,
progressionC,Progression C,9,c_9.json,minigame_locally/levels/progression_c/c_9.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_c/c_9.json,9,9x9,9,12,10,0,MEDIUM,INVALID,Yes,
progressionC,Progression C,10,c_10.json,minigame_locally/levels/progression_c/c_10.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_c/c_10.json,10,7x7,5,8,7,20,HARD,OK,Yes,
