progression_key,progression_label,slot,file,path,saved_path,level,board,pairs,blockers,moves,solutions,difficulty,status,changed,notes
progression_12,Procedural 9,0,tutorial_level.json,minigame_locally/levels/tutorial_level.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/tutorial_level.json,1,6x6,3,3,8,20,EASY,OK,Yes,Tutorial slot
progression_12,Procedural 9,1,procedular_reference_large_08d_5.json,minigame_locally/levels/procedular_reference_large_08d_5.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/procedular_reference_large_08d_5.json,82,7x7,3,9,14,4,HARD,OK,Yes,
progression_12,Procedural 9,2,procedular_reference_large_08d_4.json,minigame_locally/levels/procedular_reference_large_08d_4.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/procedular_reference_large_08d_4.json,83,7x7,3,9,13,4,HARD,OK,Yes,
progression_12,Procedural 9,3,procedular_reference_large_084.json,minigame_locally/levels/procedular_reference_large_084.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/procedular_reference_large_084.json,84,8x8,4,11,24,20,HARD,OK,Yes,
progression_12,Procedural 9,4,procedular_reference_large_08d_d_5.json,minigame_locally/levels/procedular_reference_large_08d_d_5.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/procedular_reference_large_08d_d_5.json,85,7x7,3,9,14,20,HARD,OK,Yes,
progression_12,Procedural 9,5,procedular_reference_large_08d_d_d_4.json,minigame_locally/levels/procedular_reference_large_08d_d_d_4.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/procedular_reference_large_08d_d_d_4.json,86,7x7,3,9,13,20,HARD,OK,Yes,
progression_12,Procedural 9,6,procedular_reference_large_08d_9.json,minigame_locally/levels/procedular_reference_large_08d_9.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/procedular_reference_large_08d_9.json,87,8x8,4,11,19,20,HARD,OK,Yes,
progression_12,Procedural 9,7,procedular_reference_large_088.json,minigame_locally/levels/procedular_reference_large_088.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/procedular_reference_large_088.json,88,7x7,3,9,3,20,HARD,OK,Yes,
progression_12,Procedural 9,8,procedular_reference_large_089.json,minigame_locally/levels/procedular_reference_large_089.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/procedular_reference_large_089.json,89,7x7,3,9,13,2,HARD,OK,Yes,
progression_12,Procedural 9,9,procedular_reference_large_090.json,minigame_locally/levels/procedular_reference_large_090.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/procedular_reference_large_090.json,90,8x8,4,11,30,4,HARD,OK,Yes,
progression_12,Procedural 9,10,procedular_reference_large_09d_d_4.json,minigame_locally/levels/procedular_reference_large_09d_d_4.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/procedular_reference_large_09d_d_4.json,91,8x8,3,11,20,20,HARD,OK,Yes,
