progression_key,progression_label,slot,file,path,saved_path,level,board,pairs,blockers,moves,solutions,difficulty,status,changed,notes
progressionA,Progression A,0,tutorial_level.json,Workshop tutorial · progressionA,minigame_locally/levels/tutorial_level.json,1,6x6,3,3,8,0,EASY,OK,Yes,Tutorial slot
progressionA,Progression A,1,a_d_5.json,Imported via browser picker · a_d_5.json,minigame_locally/levels/progression_a/a_d_5.json,1,5x5,3,0,5,20,EASY,OK,Yes,
progressionA,Progression A,2,a_d_4.json,Imported via browser picker · a_d_4.json,minigame_locally/levels/progression_a/a_d_4.json,1,4x4,3,1,5,2,EASY,OK,Yes,
progressionA,Progression A,3,a_d_d_4.json,Imported via browser picker · a_d_d_4.json,minigame_locally/levels/progression_a/a_d_d_4.json,1,5x5,4,1,6,0,MEDIUM,INVALID,Yes,
progressionA,Progression A,4,a_d_d_5.json,Imported via browser picker · a_d_d_5.json,minigame_locally/levels/progression_a/a_d_d_5.json,1,4x4,3,0,5,20,EASY,OK,Yes,
progressionA,Progression A,5,a_4.json,Imported via browser picker · a_4.json,minigame_locally/levels/progression_a/a_4.json,1,5x5,5,3,7,20,EASY,OK,Yes,
progressionA,Progression A,6,a_d_d_d_4.json,minigame_locally/levels/progression_a/a_d_d_d_4.json,minigame_locally/levels/progression_a/a_d_d_d_4.json,6,6x6,4,5,6,14,MEDIUM,OK,Yes,
progressionA,Progression A,7,a_d_9.json,minigame_locally/levels/progression_a/a_d_9.json,minigame_locally/levels/progression_a/a_d_9.json,7,7x7,6,6,8,0,EASY,INVALID,Yes,
progressionA,Progression A,8,a_8.json,Imported via browser picker · a_8.json,minigame_locally/levels/progression_a/a_8.json,1,6x6,3,6,7,0,MEDIUM,INVALID,Yes,
progressionA,Progression A,9,a_9.json,Imported via browser picker · a_9.json,minigame_locally/levels/progression_a/a_9.json,1,5x5,4,2,7,20,MEDIUM,OK,Yes,
progressionA,Progression A,10,a_10.json,Imported via browser picker · a_10.json,minigame_locally/levels/progression_a/a_10.json,1,6x7,4,7,6,6,HARD,OK,Yes,
