progression_key,progression_label,slot,file,path,saved_path,level,board,pairs,blockers,moves,solutions,difficulty,status,changed,notes
progressiona,Progression a,1,p_tutorial.json,levels/p_tutorial.json,,1,6x6,3,3,8,0,EASY,UNKNOWN,No,
progressiona,Progression a,2,p_2_a.json,levels/p_2_a.json,,2,5x5,3,0,5,20,MEDIUM,UNKNOWN,No,
progressiona,Progression a,3,p_3_a.json,levels/p_3_a.json,,3,4x4,3,1,5,2,EASY,UNKNOWN,No,
progressiona,Progression a,4,p_4_a.json,levels/p_4_a.json,,4,4x4,3,3,6,6,MEDIUM,UNKNOWN,No,
progressiona,Progression a,5,p_5_a.json,levels/p_5_a.json,,5,6x6,4,5,6,14,HARD,UNKNOWN,No,
progressiona,Progression a,6,p_6_a.json,levels/p_6_a.json,,6,4x4,3,0,5,20,EASY,UNKNOWN,No,
progressiona,Progression a,7,p_7_a.json,levels/p_7_a.json,,7,6x6,3,6,7,0,MEDIUM,UNKNOWN,No,
progressiona,Progression a,8,p_8_a.json,levels/p_8_a.json,,8,4x4,2,2,4,2,EASY,UNKNOWN,No,
progressiona,Progression a,9,p_9_a.json,levels/p_9_a.json,,9,5x5,4,2,9,20,MEDIUM,UNKNOWN,No,
progressiona,Progression a,10,p_10_a.json,levels/p_10_a.json,,10,6x7,4,7,6,6,HARD,UNKNOWN,No,
