progression_key,progression_label,slot,file,path,saved_path,level,board,pairs,blockers,moves,solutions,difficulty,status,changed,notes
progressionb,Progression b,1,tutorial_level.json,levels/tutorial_level.json,,1,6x6,3,3,8,0,EASY,UNKNOWN,No,
progressionb,Progression b,2,p_2_b.json,levels/p_2_b.json,,2,4x4,3,0,6,20,MEDIUM,UNKNOWN,No,
progressionb,Progression b,3,p_2_2.json,levels/p_2_2.json,,3,5x5,2,7,5,1,EASY,UNKNOWN,No,
progressionb,Progression b,4,p_2_4_new_20260310165931.json,levels/p_2_4_new_20260310165931.json,,4,7x7,4,3,6,0,MEDIUM,UNKNOWN,No,
progressionb,Progression b,5,p_2_5_new_20260310170335.json,levels/p_2_5_new_20260310170335.json,,5,7x7,4,10,5,0,HARD,UNKNOWN,No,
progressionb,Progression b,6,p_2_6_new_20260310170645.json,levels/p_2_6_new_20260310170645.json,,6,6x6,3,4,5,20,EASY,UNKNOWN,No,
progressionb,Progression b,7,progression_b_slot_7.json,levels/progression_b_slot_7.json,,17,5x5,2,7,6,0,1,UNKNOWN,No,
progressionb,Progression b,8,progression_b_slot_8.json,levels/progression_b_slot_8.json,,16,6x5,4,2,6,0,3,UNKNOWN,No,
progressionb,Progression b,9,p_2_9_new_20260310195328.json,levels/p_2_9_new_20260310195328.json,,4,8x8,4,4,5,0,MEDIUM,UNKNOWN,No,
progressionb,Progression b,10,progression_b_slot_10.json,levels/progression_b_slot_10.json,,19,7x7,5,13,7,0,3,UNKNOWN,No,
