progression_key,progression_label,slot,file,path,saved_path,level,board,pairs,blockers,moves,solutions,difficulty,status,changed,notes
progressionC,Progression C,1,tutorial_level.json,levels/tutorial_level.json,,1,6x6,3,3,8,0,EASY,UNKNOWN,No,
progressionC,Progression C,2,image01_level_editor.json,levels/image01_level_editor.json,,1,4x4,3,2,9,20,EASY,UNKNOWN,No,
progressionC,Progression C,3,image12_level_editor.json,levels/image12_level_editor.json,,2,5x5,3,0,10,20,EASY,UNKNOWN,No,
progressionC,Progression C,4,image22_level_editor.json,levels/image22_level_editor.json,,4,4x4,2,2,10,5,EASY,UNKNOWN,No,
progressionC,Progression C,5,image24_level_editor.json,levels/image24_level_editor.json,,6,5x5,3,2,10,20,MEDIUM,UNKNOWN,No,
progressionC,Progression C,6,image29_level_editor.json,levels/image29_level_editor.json,,1,4x4,3,1,10,12,MEDIUM,UNKNOWN,No,
progressionC,Progression C,7,image19_level_editor.json,levels/image19_level_editor.json,,1,5x5,3,1,15,20,MEDIUM,UNKNOWN,No,
progressionC,Progression C,8,image16_level_editor.json,levels/image16_level_editor.json,,6,5x5,3,3,12,20,HARD,UNKNOWN,No,
progressionC,Progression C,9,image14_level_editor.json,levels/image14_level_editor.json,,4,5x5,3,3,13,20,HARD,UNKNOWN,No,
progressionC,Progression C,10,image03_level_editor.json,levels/image03_level_editor.json,,3,5x5,3,3,16,20,HARD,UNKNOWN,No,
