progression_key,progression_label,slot,file,path,saved_path,level,board,pairs,blockers,moves,solutions,difficulty,status,changed,notes
progressionE,Progression E,0,tutorial_level.json,minigame_locally/levels/tutorial_level.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/tutorial_level.json,1,6x6,3,3,8,20,EASY,OK,Yes,Tutorial slot
progressionE,Progression E,1,e_1.json,minigame_locally/levels/progression_e/e_1.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_e/e_1.json,1,5x5,4,4,4,4,EASY,OK,Yes,
progressionE,Progression E,2,e_2.json,minigame_locally/levels/progression_e/e_2.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_e/e_2.json,2,5x5,5,2,5,12,EASY,OK,Yes,
progressionE,Progression E,3,e_3.json,minigame_locally/levels/progression_e/e_3.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_e/e_3.json,3,6x6,5,2,6,20,MEDIUM,OK,Yes,
progressionE,Progression E,4,e_4.json,minigame_locally/levels/progression_e/e_4.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_e/e_4.json,4,6x6,5,4,6,9,MEDIUM,OK,Yes,
progressionE,Progression E,5,e_5.json,minigame_locally/levels/progression_e/e_5.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_e/e_5.json,5,6x6,5,3,6,20,MEDIUM,OK,Yes,
progressionE,Progression E,6,e_6.json,minigame_locally/levels/progression_e/e_6.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_e/e_6.json,6,5x5,4,7,5,2,MEDIUM,OK,Yes,
progressionE,Progression E,7,e_7.json,minigame_locally/levels/progression_e/e_7.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_e/e_7.json,7,5x5,6,0,6,3,EASY,OK,Yes,
progressionE,Progression E,8,e_8.json,minigame_locally/levels/progression_e/e_8.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_e/e_8.json,8,5x6,4,9,5,8,MEDIUM,OK,Yes,
progressionE,Progression E,9,e_9.json,minigame_locally/levels/progression_e/e_9.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_e/e_9.json,9,7x7,6,6,7,0,MEDIUM,INVALID,Yes,
progressionE,Progression E,10,e_10.json,minigame_locally/levels/progression_e/e_10.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_e/e_10.json,10,7x7,5,6,7,20,HARD,OK,Yes,
