progression_key,progression_label,slot,file,path,saved_path,level,board,pairs,blockers,moves,solutions,difficulty,status,changed,notes
progressionF,Progression F,0,tutorial_level.json,minigame_locally/levels/tutorial_level.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/tutorial_level.json,1,6x6,3,3,8,20,EASY,OK,Yes,Tutorial slot
progressionF,Progression F,1,f_1.json,minigame_locally/levels/progression_f/f_1.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_f/f_1.json,1,4x4,2,2,2,20,EASY,OK,Yes,
progressionF,Progression F,2,f_2.json,minigame_locally/levels/progression_f/f_2.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_f/f_2.json,2,5x5,3,6,4,2,MEDIUM,OK,Yes,
progressionF,Progression F,3,f_3.json,minigame_locally/levels/progression_f/f_3.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_f/f_3.json,3,5x5,3,3,3,20,EASY,OK,Yes,
progressionF,Progression F,4,f_4.json,minigame_locally/levels/progression_f/f_4.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_f/f_4.json,4,6x6,5,3,6,20,MEDIUM,OK,Yes,
progressionF,Progression F,5,f_5.json,minigame_locally/levels/progression_f/f_5.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_f/f_5.json,5,5x5,3,4,3,5,EASY,OK,Yes,
progressionF,Progression F,6,f_6.json,minigame_locally/levels/progression_f/f_6.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_f/f_6.json,6,7x7,6,4,7,18,MEDIUM,OK,Yes,
progressionF,Progression F,7,f_7.json,minigame_locally/levels/progression_f/f_7.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_f/f_7.json,7,5x5,3,2,5,0,HARD,INVALID,Yes,
progressionF,Progression F,8,f_8.json,minigame_locally/levels/progression_f/f_8.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_f/f_8.json,8,7x7,5,14,6,2,MEDIUM,OK,Yes,
progressionF,Progression F,9,f_9.json,minigame_locally/levels/progression_f/f_9.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_f/f_9.json,9,6x6,5,6,7,20,HARD,OK,Yes,
progressionF,Progression F,10,f_10.json,minigame_locally/levels/progression_f/f_10.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_f/f_10.json,10,6x6,7,4,9,6,HARD,OK,Yes,
