progression_key,progression_label,slot,file,path,saved_path,level,board,pairs,blockers,moves,solutions,difficulty,status,changed,notes
progressionG,Progression G,0,tutorial_level.json,minigame_locally/levels/tutorial_level.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/tutorial_level.json,1,6x6,3,3,8,20,EASY,OK,Yes,Tutorial slot
progressionG,Progression G,1,g_1.json,minigame_locally/levels/progression_g/g_1.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_g/g_1.json,1,4x4,3,0,10,20,EASY,OK,Yes,
progressionG,Progression G,2,g_2.json,minigame_locally/levels/progression_g/g_2.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_g/g_2.json,2,5x5,3,3,16,20,EASY,OK,Yes,
progressionG,Progression G,3,g_3.json,minigame_locally/levels/progression_g/g_3.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_g/g_3.json,3,5x5,3,5,18,2,MEDIUM,OK,Yes,
progressionG,Progression G,4,g_4.json,minigame_locally/levels/progression_g/g_4.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_g/g_4.json,4,5x5,4,3,15,3,MEDIUM,OK,Yes,
progressionG,Progression G,5,g_5.json,minigame_locally/levels/progression_g/g_5.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_g/g_5.json,5,5x5,5,3,13,4,MEDIUM,OK,Yes,
progressionG,Progression G,6,g_6.json,minigame_locally/levels/progression_g/g_6.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_g/g_6.json,6,6x6,5,4,19,4,MEDIUM,OK,Yes,
progressionG,Progression G,7,g_7.json,minigame_locally/levels/progression_g/g_7.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_g/g_7.json,7,6x6,5,3,25,2,HARD,OK,Yes,
progressionG,Progression G,8,g_8.json,minigame_locally/levels/progression_g/g_8.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_g/g_8.json,8,6x6,5,10,17,3,HARD,OK,Yes,
progressionG,Progression G,9,g_9.json,minigame_locally/levels/progression_g/g_9.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_g/g_9.json,9,7x7,4,7,33,4,HARD,OK,Yes,
progressionG,Progression G,10,g_10.json,minigame_locally/levels/progression_g/g_10.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_g/g_10.json,10,7x7,5,13,16,2,HARD,OK,Yes,
