progression_key,progression_label,slot,file,path,saved_path,level,board,pairs,blockers,moves,solutions,difficulty,status,changed,notes
progressionH,Progression H,0,tutorial_level.json,minigame_locally/levels/tutorial_level.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/tutorial_level.json,1,6x6,3,3,8,20,EASY,OK,Yes,Tutorial slot
progressionH,Progression H,1,h_1.json,minigame_locally/levels/progression_h/h_1.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_h/h_1.json,1,5x5,3,0,10,20,EASY,OK,Yes,
progressionH,Progression H,2,h_2.json,minigame_locally/levels/progression_h/h_2.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_h/h_2.json,2,4x4,2,2,10,5,MEDIUM,OK,Yes,
progressionH,Progression H,3,h_3.json,minigame_locally/levels/progression_h/h_3.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_h/h_3.json,3,5x5,3,5,11,3,MEDIUM,OK,Yes,
progressionH,Progression H,4,h_4.json,minigame_locally/levels/progression_h/h_4.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_h/h_4.json,4,5x5,3,6,8,4,MEDIUM,OK,Yes,
progressionH,Progression H,5,h_5.json,minigame_locally/levels/progression_h/h_5.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_h/h_5.json,5,6x6,4,8,18,4,MEDIUM,OK,Yes,
progressionH,Progression H,6,h_6.json,minigame_locally/levels/progression_h/h_6.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_h/h_6.json,6,6x6,4,8,18,2,HARD,OK,Yes,
progressionH,Progression H,7,h_7.json,minigame_locally/levels/progression_h/h_7.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_h/h_7.json,7,7x7,6,7,32,3,HARD,OK,Yes,
progressionH,Progression H,8,h_8.json,minigame_locally/levels/progression_h/h_8.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_h/h_8.json,8,7x7,6,11,22,4,HARD,OK,Yes,
progressionH,Progression H,9,h_9.json,minigame_locally/levels/progression_h/h_9.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_h/h_9.json,9,7x7,4,9,19,4,HARD,OK,Yes,
progressionH,Progression H,10,h_10.json,minigame_locally/levels/progression_h/h_10.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_h/h_10.json,10,7x7,3,9,13,2,HARD,OK,Yes,
