progression_key,progression_label,slot,file,path,saved_path,level,board,pairs,blockers,moves,solutions,difficulty,status,changed,notes
progressionI,Progression I,0,tutorial_level.json,minigame_locally/levels/tutorial_level.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/tutorial_level.json,1,6x6,3,3,8,20,EASY,OK,Yes,Tutorial slot
progressionI,Progression I,1,i_1.json,minigame_locally/levels/progression_i/i_1.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_i/i_1.json,1,4x4,3,2,11,5,MEDIUM,OK,Yes,
progressionI,Progression I,2,i_2.json,minigame_locally/levels/progression_i/i_2.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_i/i_2.json,2,5x5,4,3,19,2,MEDIUM,OK,Yes,
progressionI,Progression I,3,i_3.json,minigame_locally/levels/progression_i/i_3.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_i/i_3.json,3,6x6,4,4,19,4,MEDIUM,OK,Yes,
progressionI,Progression I,4,i_4.json,minigame_locally/levels/progression_i/i_4.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_i/i_4.json,4,6x5,4,5,8,8,HARD,OK,Yes,
progressionI,Progression I,5,i_5.json,minigame_locally/levels/progression_i/i_5.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_i/i_5.json,5,7x7,4,11,17,2,HARD,OK,Yes,
progressionI,Progression I,6,i_6.json,minigame_locally/levels/progression_i/i_6.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_i/i_6.json,6,7x7,5,9,22,3,HARD,OK,Yes,
progressionI,Progression I,7,i_7.json,minigame_locally/levels/progression_i/i_7.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_i/i_7.json,7,7x7,4,9,19,4,HARD,OK,Yes,
progressionI,Progression I,8,i_8.json,minigame_locally/levels/progression_i/i_8.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_i/i_8.json,8,7x7,4,9,19,4,HARD,OK,Yes,
progressionI,Progression I,9,i_9.json,minigame_locally/levels/progression_i/i_9.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_i/i_9.json,9,7x7,5,8,9,20,HARD,OK,Yes,
progressionI,Progression I,10,i_10.json,minigame_locally/levels/progression_i/i_10.json,/Users/victoria.serrano/Library/CloudStorage/SynologyDrive-back1/misScripts/minigame_locally/levels/progression_i/i_10.json,10,6x6,6,10,8,1,HARD,OK,Yes,
