progression_key,progression_label,slot,file,path,saved_path,level,board,pairs,blockers,moves,solutions,difficulty,status,changed,notes
progression_5_1,Progression 5,0,tutorial_level.json,Workshop tutorial · progressionA,minigame_locally/levels/tutorial_level.json,1,6x6,3,3,8,0,EASY,OK,Yes,Tutorial slot
progression_5_1,Progression 5,1,5_1.json,minigame_locally/levels/5_1.json,minigame_locally/levels/5_1.json,5,5x5,4,4,16,4,EASY,OK,Yes,
progression_5_1,Progression 5,2,5_2.json,minigame_locally/levels/5_2.json,minigame_locally/levels/5_2.json,2,5x5,5,2,6,12,EASY,OK,Yes,
progression_5_1,Progression 5,3,5_3.json,minigame_locally/levels/5_3.json,minigame_locally/levels/5_3.json,3,5x6,4,9,15,8,MEDIUM,OK,Yes,
progression_5_1,Progression 5,4,5_4.json,minigame_locally/levels/5_4.json,minigame_locally/levels/5_4.json,4,5x5,4,7,7,2,MEDIUM,OK,Yes,
progression_5_1,Progression 5,5,progression_5_slot_5.json,minigame_locally/levels/progression_5_slot_5.json,minigame_locally/levels/progression_5_slot_5.json,1,6x6,5,2,7,20,EASY,OK,Yes,
progression_5_1,Progression 5,6,5_6.json,minigame_locally/levels/5_6.json,minigame_locally/levels/5_6.json,6,6x6,5,3,9,20,MEDIUM,OK,Yes,
progression_5_1,Progression 5,7,5_7.json,minigame_locally/levels/5_7.json,minigame_locally/levels/5_7.json,7,5x5,6,0,6,3,EASY,OK,Yes,
progression_5_1,Progression 5,8,5_8.json,minigame_locally/levels/5_8.json,minigame_locally/levels/5_8.json,8,6x6,5,4,7,9,MEDIUM,OK,Yes,
progression_5_1,Progression 5,9,5_9.json,minigame_locally/levels/5_9.json,minigame_locally/levels/5_9.json,9,7x7,6,6,7,0,MEDIUM,INVALID,Yes,
progression_5_1,Progression 5,10,5_10.json,minigame_locally/levels/5_10.json,minigame_locally/levels/5_10.json,10,7x7,5,6,8,20,HARD,OK,Yes,
